SubscriptionMonth,Country,TrackName,total_subscriptions,avg_progression,diploma_rate,estimated_revenue,churn_rate
2024-01,Côte d'Ivoire,Data Scientist Bootcamp*,3,94.69,33.33,360.0,0.0
2024-01,Côte d'Ivoire,Performance Marketing - Meta Certified,11,90.73,45.45,1100.0,9.09
2024-01,Côte d'Ivoire,Python Essentials*,9,64.87,55.56,900.0,33.33
2024-01,Côte d'Ivoire,Social Media Marketing Essentials*,6,83.99,33.33,600.0,16.67
2024-01,Côte d'Ivoire,Software Developer Bootcamp*,9,87.75,55.56,980.0,11.11
2024-01,Côte d'Ivoire,Web Development Essentials*,14,80.51,50.0,1400.0,21.43
2024-01,Egypt,Cybersecurity - Comptia Security + Certified,2,88.8,50.0,200.0,0.0
2024-01,Egypt,Data Scientist Bootcamp*,8,42.28,0.0,960.0,50.0
2024-01,Egypt,Graphic Design - Adobe Certified*,4,55.89,25.0,400.0,50.0
2024-01,Egypt,Introduction to UX Design,2,40.0,0.0,200.0,50.0
2024-01,Egypt,Python Essentials*,5,61.32,40.0,500.0,40.0
2024-01,Egypt,Social Media Marketing Essentials*,8,40.2,0.0,800.0,75.0
2024-01,Egypt,Software Developer Bootcamp*,5,49.15,20.0,600.0,60.0
2024-01,Egypt,Web Development Essentials*,2,65.54,50.0,200.0,50.0
2024-01,Kenya,Data Scientist Bootcamp*,3,44.92,0.0,360.0,66.67
2024-01,Kenya,Graphic Design - Adobe Certified*,4,69.28,50.0,400.0,25.0
2024-01,Kenya,Software Developer Bootcamp*,12,77.98,75.0,1200.0,25.0
2024-01,Kenya,Web Development Essentials*,3,97.78,100.0,300.0,0.0
2024-01,Morocco,Cybersecurity - Comptia Security + Certified,3,99.03,100.0,300.0,0.0
2024-01,Morocco,Data Analytics - Microsoft Power BI Certified*,8,67.22,25.0,800.0,25.0
2024-01,Morocco,Data Scientist Bootcamp*,6,94.28,83.33,660.0,0.0
2024-01,Morocco,Digital Marketing: Social Media Management - FR,3,100.0,100.0,450.0,0.0
2024-01,Morocco,Front End Developer - React JS Certified,6,87.92,83.33,600.0,16.67
2024-01,Morocco,Graphic Design - Adobe Certified*,5,63.94,40.0,500.0,40.0
2024-01,Morocco,Performance Marketing - Meta Certified,3,5.56,0.0,300.0,100.0
2024-01,Morocco,Python Essentials*,9,76.72,66.67,900.0,22.22
2024-01,Morocco,Social Media Marketing Essentials*,13,54.3,46.15,1300.0,46.15
2024-01,Morocco,Software Developer Bootcamp*,16,82.55,75.0,1760.0,25.0
2024-01,Morocco,Web Development Essentials*,6,90.06,83.33,600.0,16.67
2024-01,Nigeria,Cybersecurity - Comptia Security + Certified,55,91.43,89.09,5500.0,9.09
2024-01,Nigeria,Data Analytics - Microsoft Power BI Certified*,3,100.0,100.0,300.0,0.0
2024-01,Nigeria,Data Scientist Bootcamp*,28,96.81,100.0,2860.0,0.0
2024-01,Nigeria,Front End Developer - React JS Certified,6,73.33,66.67,600.0,33.33
2024-01,Nigeria,Graphic Design - Adobe Certified*,4,100.0,100.0,400.0,0.0
2024-01,Nigeria,Python Essentials*,9,96.05,88.89,900.0,0.0
2024-01,Nigeria,Social Media Marketing Essentials*,15,100.0,100.0,1500.0,0.0
2024-01,Nigeria,Software Developer Bootcamp*,71,90.51,88.73,7180.0,11.27
2024-01,Nigeria,Software Testing - ISTQB Certified*,6,95.54,100.0,600.0,0.0
2024-01,Nigeria,The Data Science Bootcamp,7,99.52,85.71,700.0,0.0
2024-01,Nigeria,The Full-Stack JS Bootcamp,8,93.54,87.5,800.0,12.5
2024-01,Nigeria,UX & UI Design*,31,92.4,90.32,3100.0,9.68
2024-01,Nigeria,Web Development Essentials*,19,81.82,63.16,1900.0,15.79
2024-01,Senegal,Cyber Security Bootcamp: Certified CompTIA Security +,4,73.02,50.0,400.0,25.0
2024-01,Senegal,Cybersecurity - Comptia Security + Certified,4,99.63,100.0,400.0,0.0
2024-01,Senegal,Data Analytics - Microsoft Power BI Certified*,4,84.93,50.0,400.0,25.0
